"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal","Date_median","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1","Secchi_South","Secchi_West"
1981,1,29,1.12305187562416,1.40912057785927,"1981-01-30",0.512992262840271,6.60310983657837,"Bay Study",1981-01-30,1980-12-07,1981-02-19,"Yes",1981,18509.6774193548,3250.64516129032,23285.935483871,974.838709677419,8264.83870967742,18325.2580645161,78.4956995574194,-7846.23781125271,1981-01-01,16687.0967741935,2949.35483870968,19917.3870967742,17.0645161290323,6764.64516129032,12486.8064516129,77.526414283871,64.5384615384615,28.7608695652174
1981,2,48,2.45556559227407,1.93610143568159,"1981-02-09",0.110970579087734,4.63616609573364,"Bay Study",1981-02-09,1980-12-07,1981-02-19,"Yes",1981,24239.2857142857,2878.92857142857,28180.0357142857,716.857142857143,7242.14285714286,21171.3928571429,70.3224028928571,-5101.17945124681,1981-02-01,18509.6774193548,3250.64516129032,23285.935483871,974.838709677419,8264.83870967742,18325.2580645161,78.4956995574194,39.2307692307692,19.1282051282051
1981,3,32,1.34006514167413,0.879555564865681,"1981-03-09",0.236928597092628,2.3731632232666,"Bay Study",1981-03-09,1980-12-07,1981-02-19,"Yes",1981,24509.6774193548,3121.93548387097,29248.6451612903,259.838709677419,4834.22580645161,26483.2580645161,69.3054296745161,-4570.19882560829,1981-03-01,24239.2857142857,2878.92857142857,28180.0357142857,716.857142857143,7242.14285714286,21171.3928571429,70.3224028928571,49.4782608695652,21.948275862069
1981,4,26,0.207840227163755,0.215770142285518,"1981-04-06",0.0994194746017456,0.936719536781311,"Bay Study",1981-04-06,1980-12-07,1981-02-19,"Yes",1981,17224.3333333333,2532.33333333333,20227.0333333333,32.2,8094.36666666667,11647.6666666667,71.649977122,-7905.79190844538,1981-04-01,24509.6774193548,3121.93548387097,29248.6451612903,259.838709677419,4834.22580645161,26483.2580645161,69.3054296745161,47.8846153846154,22.8252428793213
1981,11,461,1.87525207400645,2.3018927936852,"1980-11-14",0.0701571702957153,7.52154970169067,"FMWT",1980-11-14,1980-12-07,1981-02-19,"No",1980,10871.6666666667,3277.66666666667,14715.2666666667,10.9,6457.3,6661.8,81.3779255563333,-5101.17945124681,1980-11-01,11343.5483870968,4072.25806451613,15880.1935483871,6.7741935483871,6740.96774193548,7320.83870967742,78.950194583871,55.72,32.9900990299659
1981,12,317,2.05890214363295,2.06646828037564,"1980-12-09",0.0850137174129486,7.08539438247681,"FMWT",1980-12-09,1980-12-07,1981-02-19,"Yes",1980,16687.0967741935,2949.35483870968,19917.3870967742,17.0645161290323,6764.64516129032,12486.8064516129,77.526414283871,-4570.19882560829,1980-12-01,10871.6666666667,3277.66666666667,14715.2666666667,10.9,6457.3,6661.8,81.3779255563333,56.56,30.6201549204745
1982,1,49,0.225479248607037,0.259267753100221,"1982-01-05",0.0586655251681805,1.65776884555817,"Bay Study",1982-01-05,1981-11-17,1982-02-07,"Yes",1982,64609.6774193548,3889.03225806452,98111.6451612903,21286.7096774194,5208.16129032258,97674.0322580645,51.4472325012903,-7846.23781125271,1982-01-01,62058.064516129,1850.96774193548,91561.8064516129,24453.7419354839,5166.8064516129,86287.3870967742,60.736028763871,37,25.1142857142857
1982,2,19,0.859925013231604,3.1690156806842,"1982-02-08",0.106154508888721,13.9454402923584,"Bay Study",1982-02-08,1981-11-17,1982-02-07,"Yes",1982,59432.1428571429,6645.35714285714,100334.892857143,26362.3571428571,9452.39285714286,92555.1785714286,54.6245182592857,-5101.17945124681,1982-02-01,64609.6774193548,3889.03225806452,98111.6451612903,21286.7096774194,5208.16129032258,97674.0322580645,51.4472325012903,39.2307692307692,27.1666666666667
1982,3,11,1.49775886264714,3.13922824459603,"1982-03-10",0.0802186504006386,7.84706544876099,"Bay Study",1982-03-10,1981-11-17,1982-02-07,"Yes",1982,62812.9032258065,10061.6129032258,86349.5806451613,5265.35483870968,10417.7096774194,80088.3870967742,51.6851057570968,-4570.19882560829,1982-03-01,59432.1428571429,6645.35714285714,100334.892857143,26362.3571428571,9452.39285714286,92555.1785714286,54.6245182592857,55.9230769230769,29.9574468085106
1982,4,5,0.080327545106411,0.0152281769925842,"1982-04-16",0.0715939924120903,0.107117362320423,"Bay Study",1982-04-16,1981-11-17,1982-02-07,"Yes",1982,76580,22963.3333333333,149355.933333333,38217.5333333333,9613.46666666667,142192.366666667,48.518323833,-7905.79190844538,1982-04-01,62812.9032258065,10061.6129032258,86349.5806451613,5265.35483870968,10417.7096774194,80088.3870967742,51.6851057570968,50.1764705882353,26.6184208722491
1982,11,83,3.37866803034242,3.4736379865104,"1981-11-13",0.132701829075813,11.0944757461548,"FMWT",1981-11-13,1981-11-17,1982-02-07,"No",1981,32939.3333333333,1564,39365.7333333333,3761.16666666667,4717.36666666667,36000.6,79.0463367713333,-5101.17945124681,1981-11-01,9895.16129032258,1386.45161290323,11441.0967741935,5.41935483870968,5934.54838709677,5213.77419354839,86.8215238280645,63.24,46.1506849315069
1982,12,108,0.69526126553063,1.58098249499341,"1981-12-10",0.0739890411496162,13.7858858108521,"FMWT",1981-12-10,1981-11-17,1982-02-07,"Yes",1981,62058.064516129,1850.96774193548,91561.8064516129,24453.7419354839,5166.8064516129,86287.3870967742,60.736028763871,-4570.19882560829,1981-12-01,32939.3333333333,1564,39365.7333333333,3761.16666666667,4717.36666666667,36000.6,79.0463367713333,46.4736842105263,27.5396825396825
1983,1,49,0.192633637056059,0.6977801097718,"1983-01-03",0.0830953344702721,4.97674942016602,"Bay Study",1983-01-03,1982-11-03,1983-02-07,"Yes",1983,47512.9032258065,19067.7419354839,96860.6129032258,21640.3870967742,10077.8709677419,89761.5483870968,55.0301055151613,-7846.23781125271,1983-01-01,57706.4516129032,16493.5483870968,95522.7096774193,12297.5161290323,8428.45161290323,88908,57.0542632064516,36,24.2162162162162
1983,2,1,0.368871748447418,NA,"1983-02-01",0.368871748447418,0.368871748447418,"Bay Study",1983-02-01,1982-11-03,1983-02-07,"Yes",1983,79039.2857142857,31603.5714285714,183046.035714286,60479.8571428571,10246.0357142857,175756.25,46.9010182125,-5101.17945124681,1983-02-01,47512.9032258065,19067.7419354839,96860.6129032258,21640.3870967742,10077.8709677419,89761.5483870968,55.0301055151613,31.6923076923077,24.1785714285714
1983,3,46,0.126879447990138,0.0744725091098044,"1983-03-07",0.0840544626116753,0.6006680727005,"Bay Study",1983-03-07,1982-11-03,1983-02-07,"Yes",1983,78290.3225806452,40035.4838709677,266621.322580645,130358.387096774,5436.16129032258,266623.161290323,40.8910494980645,-4570.19882560829,1983-03-01,79039.2857142857,31603.5714285714,183046.035714286,60479.8571428571,10246.0357142857,175756.25,46.9010182125,36.4615384615385,18.2
1983,4,6,0.26073112587134,0.373112724426278,"1983-04-05",0.0917322337627411,1.02199673652649,"Bay Study",1983-04-05,1982-11-03,1983-02-07,"Yes",1983,60510,36446.6666666667,121802.566666667,17918.9333333333,3833.66666666667,118099.733333333,44.1432311363333,-7905.79190844538,1983-04-01,78290.3225806452,40035.4838709677,266621.322580645,130358.387096774,5436.16129032258,266623.161290323,40.8910494980645,52.6666666666667,31.8514854447676
