"Station","Longitude","Latitude"
"072",-121.58056640625,38.1877517700195
"073",-121.539367675781,38.2743301391602
"18-19-CS03",-121.687911987305,38.2451515197754
"18-20-GB01",-122.058547973633,38.1175308227539
"18-23-LSSC03",-121.610908508301,38.4146385192871
"18-23-SM01",-122.054553985596,38.1507205963135
"18-24-SM01",-121.986671447754,38.1843299865723
"18-25-SM01",-122.009872436523,38.1785316467285
"18-26-LSSC01",-121.60920715332,38.4173889160156
"18-26-SM02",-122.043830871582,38.1654014587402
"18-27-LSR01",-121.832160949707,38.0698394775391
"18-29-RV02",-121.742332458496,38.0907592773438
"18-30-LSR01",-121.808647155762,38.062068939209
"18-31-USSC01",-121.584510803223,38.509838104248
"18-33-LSSC03",-121.593360900879,38.4527282714844
"18-33-SM03",-122.082496643066,38.1349906921387
"18-34-LSR02",-121.806869506836,38.058708190918
"18-34-LSSC02",-121.594970703125,38.4490013122559
"19-19-LSSC03",-121.645847320557,38.3392696380615
"19-20-LSR02",-121.769569396973,38.076229095459
"19-20-LSSC03",-121.601699829102,38.433219909668
"19-21-LSSC02",-121.609642028809,38.4175682067871
"19-22-LSSC01",-121.587547302246,38.4631004333496
"19-22-LSSC02",-121.650253295898,38.3204002380371
"19-22-SM02",-122.047927856445,38.158561706543
"19-22-SM04",-122.058616638184,38.1170806884766
"19-23-LSSC02",-121.66015625,38.277229309082
"19-24-LSR01",-121.815559387207,38.0581893920898
"19-24-SM02",-122.043586730957,38.1956787109375
"19-25-LSR01",-121.7451171875,38.0887298583984
"19-25-LSR02",-121.785919189453,38.0687103271484
"19-25-LSSC02",-121.598930358887,38.4421882629395
"19-25-LSSC03",-121.645149230957,38.3414115905762
"19-26-LSSC03",-121.659759521484,38.2816734313965
"19-27-CS02",-121.68701171875,38.2483711242676
"19-27-HB01",-121.951850891113,38.0534706115723
"19-27-LSSC01",-121.674331665039,38.2226486206055
"19-27-LSSC02",-121.665893554688,38.2602691650391
"19-27-LSSC03",-121.640190124512,38.3514785766602
"19-27-RV01",-121.691673278809,38.1347503662109
