"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","pre2009"
1993,3,1993-03-15,77.2766509432085,NA,59,"preBiOp"
1993,4,1993-04-16,70.5722058327419,NA,109,"preBiOp"
1993,11,1992-11-06,48.532719591823,NA,51,"preBiOp"
1993,12,1992-12-11,53.4273044275862,NA,25,"preBiOp"
1994,1,1994-01-19,54.7091639699359,NA,994,"preBiOp"
1994,2,1994-02-14,55.0110584880321,NA,875,"preBiOp"
1994,3,1994-03-11,55.2060129463679,NA,567,"preBiOp"
1994,4,1994-04-06,53.1994078549052,NA,168,"preBiOp"
1994,11,1993-11-08,54.0274193252444,NA,1348,"preBiOp"
1994,12,1993-12-08,54.1622005898915,NA,386,"preBiOp"
1995,1,1995-01-09,54.2192250286867,NA,807,"preBiOp"
1995,2,1995-02-21,54.1755246383737,NA,178,"preBiOp"
1995,3,1995-03-08,54.5003605776539,NA,205,"preBiOp"
1995,4,1995-04-19,54.2041132890842,NA,169,"preBiOp"
1995,11,1994-11-28,54.9179774385799,NA,203,"preBiOp"
1995,12,1994-12-15,54.0386712287444,NA,1534,"preBiOp"
1996,1,1996-01-15,53.9748946019387,NA,5911,"preBiOp"
1996,2,1996-02-07,57.2938632678826,NA,557,"preBiOp"
1996,3,1996-03-25,56.6684199748047,NA,1817,"preBiOp"
1996,4,1996-04-21,53.9382217240478,NA,2413,"preBiOp"
1996,11,1995-11-09,54.3531105299668,NA,1261,"preBiOp"
1996,12,1995-12-13,54.3941605425637,NA,879,"preBiOp"
1997,1,1997-01-18,62.2831624992308,NA,13,"preBiOp"
1997,2,1997-02-18,59.4372441118113,NA,27,"preBiOp"
1997,3,1997-03-11,60.1684209274446,NA,126,"preBiOp"
1997,4,1997-04-22,56.5567215748482,NA,57,"preBiOp"
1997,11,1996-11-14,52.7189281079724,NA,184,"preBiOp"
1997,12,1996-12-09,55.0921445313333,NA,954,"preBiOp"
1998,1,1998-01-09,54.838071234028,NA,452,"preBiOp"
1998,2,1998-02-20,53.3923077517593,NA,34,"preBiOp"
1998,3,1998-03-09,61.8198787084998,NA,216,"preBiOp"
1998,4,1998-04-20,54.8312638160008,NA,229,"preBiOp"
