"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal"
1976,11,67,0.957437185876405,0.79419140218899,1975-11-13,0.0533981658518314,3.01241087913513,"FMWT"
1976,12,80,0.861703747371212,0.955536382909596,1975-12-16,0.0500452369451523,5.90042161941528,"FMWT"
1977,1,82,4.18620832046358,4.30907716644137,1977-01-14,0.139483153820038,13.2447261810303,"FMWT"
1977,11,77,1.94021272252906,2.7121059840816,1976-11-24,0.156966492533684,17.6218757629395,"FMWT"
1978,1,95,1.24878664542186,1.04296625436507,1978-01-13,0.0821363255381584,5.17964124679565,"FMWT"
1978,3,29,0.348532307122288,0.658020548801238,1978-03-13,0.0572290979325771,3.50060868263245,"FMWT"
1978,11,91,3.69691901973316,7.88516834189908,1977-11-15,0.253763347864151,32.4395751953125,"FMWT"
1978,12,105,3.86910924769583,4.22485549474504,1977-12-13,0.302559584379196,11.9457721710205,"FMWT"
1979,2,37,1.21497201436275,0.494726325121063,1979-02-12,0.119168594479561,1.83541810512543,"FMWT"
1979,11,26,3.69237941302932,3.61433565893938,1978-11-20,0.0749471932649612,17.9376182556152,"FMWT"
1979,12,27,3.67386840890955,2.42575109932286,1978-12-14,0.087412416934967,6.03918504714966,"FMWT"
1980,2,1,0.104710571467876,NA,1980-02-08,0.104710571467876,0.104710571467876,"Bay Study"
1980,3,4,0.097983168438077,0.009605523198843,1980-03-11,0.0835748836398125,0.102785930037498,"Bay Study"
1981,1,29,1.12305187562416,1.40912057785927,1981-01-30,0.512992262840271,6.60310983657837,"Bay Study"
1981,2,48,2.45556559227407,1.93610143568159,1981-02-09,0.110970579087734,4.63616609573364,"Bay Study"
1981,3,32,1.34006514167413,0.879555564865681,1981-03-09,0.236928597092628,2.3731632232666,"Bay Study"
1981,4,26,0.207840227163755,0.215770142285518,1981-04-06,0.0994194746017456,0.936719536781311,"Bay Study"
1981,11,461,1.87525207400645,2.3018927936852,1980-11-14,0.0701571702957153,7.52154970169067,"FMWT"
1981,12,317,2.05890214363295,2.06646828037564,1980-12-09,0.0850137174129486,7.08539438247681,"FMWT"
1982,1,49,0.225479248607037,0.259267753100221,1982-01-05,0.0586655251681805,1.65776884555817,"Bay Study"
1982,2,19,0.859925013231604,3.1690156806842,1982-02-08,0.106154508888721,13.9454402923584,"Bay Study"
1982,3,11,1.49775886264714,3.13922824459603,1982-03-10,0.0802186504006386,7.84706544876099,"Bay Study"
1982,4,5,0.080327545106411,0.0152281769925842,1982-04-16,0.0715939924120903,0.107117362320423,"Bay Study"
1982,11,83,3.37866803034242,3.4736379865104,1981-11-13,0.132701829075813,11.0944757461548,"FMWT"
1982,12,108,0.69526126553063,1.58098249499341,1981-12-10,0.0739890411496162,13.7858858108521,"FMWT"
1983,1,49,0.192633637056059,0.6977801097718,1983-01-03,0.0830953344702721,4.97674942016602,"Bay Study"
1983,2,1,0.368871748447418,NA,1983-02-01,0.368871748447418,0.368871748447418,"Bay Study"
1983,3,46,0.126879447990138,0.0744725091098044,1983-03-07,0.0840544626116753,0.6006680727005,"Bay Study"
