"Station","Facility","dist_km"
"712","Skinner",56.2448316613423
"713","Skinner",56.9191252144267
"715","Skinner",59.5603190529467
"716","Skinner",63.714520462697
"717","Skinner",56.1617336099573
"718","Skinner",66.2436490137714
"719","Skinner",72.3354265517212
"721","Skinner",65.2424686288628
"723","Skinner",60.7724650555295
"724","Skinner",61.9127761355533
"735","Skinner",71.1571961262973
"736","Skinner",45.2276868494107
"750","Skinner",48.9450164288792
"751","Skinner",45.5879538766234
"752","Skinner",45.2649229714992
"760","Skinner",49.8171106424113
"761","Skinner",51.8101623817011
"762","Skinner",53.706089428478
"796","Skinner",90.1847718920659
"797","Skinner",81.3777068434602
"801","Skinner",47.5628183968304
"802","Skinner",46.7051816663696
"804","Skinner",42.0523180275102
"806","Skinner",39.66513595375
"807","Skinner",37.1391278361501
"808","Skinner",37.1305542988492
"809","Skinner",37.3929611403272
"810","Skinner",37.0431694788098
"811","Skinner",38.4461920515769
"812","Skinner",37.1216761102766
"813","Skinner",38.6322987412566
"814","Skinner",36.3215430099829
"815","Skinner",33.1538860414729
"837","Skinner",39.3289400914066
"853","Skinner",37.4914306286044
"863","Skinner",37.1577458971943
"864","Skinner",35.9717513484653
"865","Skinner",33.1763600292152
"902","Skinner",25.2986404429479
"903","Skinner",35.4371455231302
"904","Skinner",32.2829581631071
"905","Skinner",33.7391975973925
"906","Skinner",32.0783596030617
"908","Skinner",30.5168527809156
"909","Skinner",32.5184780575098
"910","Skinner",30.588992354756
"911","Skinner",33.554688084847
"912","Skinner",37.9186887770994
"913","Skinner",21.4367270645451
"914","Skinner",21.9510653818075
"915","Skinner",16.2049189274006
"919","Skinner",38.7204190545129
"920","Skinner",43.8483045995558
"921","Skinner",47.1184131737216
"922","Skinner",52.5575094624268
"923","Skinner",39.9785531770757
"AM001S","Skinner",113.445948002008
"BY1","Skinner",84.6484247201903
"BY3","Skinner",83.298188166988
"CO1","Skinner",79.5712971756286
"CO2","Skinner",78.7414613460523
"CO3","Skinner",80.682031717046
"CQS104","Skinner",78.1746633113992
"CQS53","Skinner",75.5804977373465
"CQS54","Skinner",80.8529670813289
"CQS55","Skinner",77.9586754318503
"CQS56","Skinner",85.0436691199541
"CQS57","Skinner",85.5479629134695
"CQS58","Skinner",78.5141057979023
"CQS61","Skinner",84.0649627227905
"CQS62","Skinner",77.6621006318516
"CS2","Skinner",68.5245235551703
"CS53","Skinner",61.3781703102097
"DS002S","Skinner",34.832658873523
"DV2","Skinner",74.4830326929318
"DV3","Skinner",73.0778036404951
"FT52","Skinner",33.8465452742365
"FT53","Skinner",28.3453539354402
"FT54","Skinner",31.5140510484433
"FT60","Skinner",31.335173100301
"GR3","Skinner",78.531966714821
"GR4","Skinner",77.9244858224275
"GS010E","Skinner",56.107781255216
"GY1","Skinner",78.3293961738712
"GY2","Skinner",77.5848648753496
"GY3","Skinner",73.8115026521589
"HB2","Skinner",59.0419463484265
"HB52","Skinner",54.7724330270654
"HB6","Skinner",53.4368324175291
"LI001E","Skinner",61.6033410295951
"LI001W","Skinner",65.9813683629723
"LI002E","Skinner",61.9581549529856
"LI002W","Skinner",64.9784123403524
"LI003E","Skinner",62.9101005937567
"LI003W","Skinner",63.6524254126087
"LI004E","Skinner",64.0447801093642
"LI004W","Skinner",62.957864351447
"LI005E","Skinner",65.0373869569682
"LI005W","Skinner",62.0584000789738
"LI006E","Skinner",65.4681963808886
"LI006W","Skinner",66.4439608051595
"LI007E","Skinner",66.2384482913133
"LI007W","Skinner",66.3179950672685
"LI008E","Skinner",66.7510109708624
"LI010E","Skinner",68.1940854479299
"LI010W","Skinner",68.6719231363131
"LNR101","Skinner",90.1328475564572
"LNR102","Skinner",93.3105490487118
"LNR53","Skinner",99.4467175295151
"LP003E","Skinner",39.50028464673
"LSJ10","Skinner",48.0360646653013
"LSJ101","Skinner",46.306459911983
"LSJ13","Skinner",43.6917221785882
"LSJ59","Skinner",33.8493610564439
"LSJ61","Skinner",42.207251001463
"LSJ62","Skinner",38.9648171374888
"LSJ67","Skinner",44.4551761894252
"LSR1","Skinner",46.3327898264192
"LSR2","Skinner",46.3308879980203
"LSR3","Skinner",50.5793983180833
"LSR4","Skinner",49.1605734664744
"MI104","Skinner",25.3879270913832
"MK004W","Skinner",38.6504859603494
"MR010W","Skinner",17.6073321976344
"MS001N","Skinner",44.1941141436995
"MZ1","Skinner",54.7896323715597
"MZ2","Skinner",57.2980625726033
"MZ6","Skinner",67.1619098078892
"MZ7","Skinner",67.3842647450712
"MZ8","Skinner",67.8271989817209
"NS2","Skinner",70.2513647962011
"NS3","Skinner",68.5363959865476
"OR023E","Skinner",4.41660825123496
"PP1","Skinner",33.0070957628658
"PP105","Skinner",34.8849617812344
"PP12","Skinner",35.0583866255483
"PP14","Skinner",33.721745871521
"PP20","Skinner",31.3095786790834
"PP21","Skinner",34.2118345633275
"PP23","Skinner",33.0739084235597
"PP27","Skinner",31.9170595714761
"PP52","Skinner",31.9634785334077
