"date","week","month","year","waterYear","oldFlow","middleFlow","omrFlow","oldRExtrap","middleRExtrap","omrFlowExtrap"
1987-12-03,49,12,1987,1988,-1520,-1940,-3460,-1520,-1940,-3460
1987-12-04,49,12,1987,1988,-1460,-1980,-3440,-1460,-1980,-3440
1987-12-05,49,12,1987,1988,-1440,-2080,-3520,-1440,-2080,-3520
1987-12-06,49,12,1987,1988,-2210,-2850,-5060,-2210,-2850,-5060
1987-12-07,49,12,1987,1988,-1390,-2070,-3460,-1390,-2070,-3460
1987-12-08,49,12,1987,1988,-1910,-2700,-4610,-1910,-2700,-4610
1987-12-09,49,12,1987,1988,-2220,-3070,-5290,-2220,-3070,-5290
1987-12-10,50,12,1987,1988,-2970,-3840,-6810,-2970,-3840,-6810
1987-12-11,50,12,1987,1988,-3840,-4140,-7980,-3840,-4140,-7980
1987-12-12,50,12,1987,1988,-3920,-3530,-7450,-3920,-3530,-7450
1987-12-13,50,12,1987,1988,-3720,-3480,-7200,-3720,-3480,-7200
1987-12-14,50,12,1987,1988,-3780,-4530,-8310,-3780,-4530,-8310
1987-12-15,50,12,1987,1988,-4190,-5430,-9620,-4190,-5430,-9620
1987-12-16,50,12,1987,1988,-4890,-6160,-11050,-4890,-6160,-11050
1987-12-17,51,12,1987,1988,-4240,-5550,-9790,-4240,-5550,-9790
1987-12-18,51,12,1987,1988,-3510,-4820,-8330,-3510,-4820,-8330
1987-12-19,51,12,1987,1988,-3620,-4880,-8500,-3620,-4880,-8500
1987-12-20,51,12,1987,1988,-3450,-4640,-8090,-3450,-4640,-8090
1987-12-21,51,12,1987,1988,-3770,-4860,-8630,-3770,-4860,-8630
1987-12-22,51,12,1987,1988,-3950,-4980,-8930,-3950,-4980,-8930
1987-12-23,51,12,1987,1988,-3460,-4100,-7560,-3460,-4100,-7560
1987-12-24,52,12,1987,1988,-3440,-3830,-7270,-3440,-3830,-7270
1987-12-25,52,12,1987,1988,-3630,-4560,-8190,-3630,-4560,-8190
1987-12-26,52,12,1987,1988,-3530,-4700,-8230,-3530,-4700,-8230
1987-12-27,52,12,1987,1988,-3650,-4840,-8490,-3650,-4840,-8490
1987-12-28,52,12,1987,1988,-4050,-5440,-9490,-4050,-5440,-9490
1987-12-29,52,12,1987,1988,-3940,-5230,-9170,-3940,-5230,-9170
1987-12-30,52,12,1987,1988,-3610,-4840,-8450,-3610,-4840,-8450
1987-12-31,53,12,1987,1988,-3570,-4740,-8310,-3570,-4740,-8310
1988-01-01,1,1,1988,1988,-3690,-4810,-8500,-3690,-4810,-8500
1988-01-02,1,1,1988,1988,-3760,-4890,-8650,-3760,-4890,-8650
1988-01-03,1,1,1988,1988,-3940,-4980,-8920,-3940,-4980,-8920
1988-01-04,1,1,1988,1988,-3940,-5010,-8950,-3940,-5010,-8950
1988-01-05,1,1,1988,1988,-3600,-4710,-8310,-3600,-4710,-8310
1988-01-06,1,1,1988,1988,-3320,-4420,-7740,-3320,-4420,-7740
1988-01-07,1,1,1988,1988,-3400,-4720,-8120,-3400,-4720,-8120
1988-01-08,2,1,1988,1988,-3220,-4540,-7760,-3220,-4540,-7760
1988-01-09,2,1,1988,1988,-3100,-4340,-7440,-3100,-4340,-7440
1988-01-10,2,1,1988,1988,-3400,-4610,-8010,-3400,-4610,-8010
1988-01-11,2,1,1988,1988,-3410,-4580,-7990,-3410,-4580,-7990
1988-01-12,2,1,1988,1988,-3450,-4580,-8030,-3450,-4580,-8030
1988-01-13,2,1,1988,1988,-3680,-4850,-8530,-3680,-4850,-8530
1988-01-14,2,1,1988,1988,-4150,-5300,-9450,-4150,-5300,-9450
1988-01-15,3,1,1988,1988,-4240,-5480,-9720,-4240,-5480,-9720
1988-01-16,3,1,1988,1988,-4030,-5170,-9200,-4030,-5170,-9200
1988-01-17,3,1,1988,1988,-3260,-4270,-7530,-3260,-4270,-7530
1988-01-18,3,1,1988,1988,-2610,-3660,-6270,-2610,-3660,-6270
1988-01-19,3,1,1988,1988,-2530,-3530,-6060,-2530,-3530,-6060
1988-01-20,3,1,1988,1988,-2710,-3840,-6550,-2710,-3840,-6550
1988-01-21,3,1,1988,1988,-3180,-4200,-7380,-3180,-4200,-7380
1988-01-22,4,1,1988,1988,-3180,-4310,-7490,-3180,-4310,-7490
1988-01-23,4,1,1988,1988,-3400,-4570,-7970,-3400,-4570,-7970
1988-01-24,4,1,1988,1988,-3410,-4580,-7990,-3410,-4580,-7990
1988-01-25,4,1,1988,1988,-3640,-4770,-8410,-3640,-4770,-8410
1988-01-26,4,1,1988,1988,-3920,-5150,-9070,-3920,-5150,-9070
1988-01-27,4,1,1988,1988,-4150,-5330,-9480,-4150,-5330,-9480
1988-01-28,4,1,1988,1988,-4000,-5070,-9070,-4000,-5070,-9070
1988-01-29,5,1,1988,1988,-3520,-4650,-8170,-3520,-4650,-8170
1988-01-30,5,1,1988,1988,-3380,-4450,-7830,-3380,-4450,-7830
1988-01-31,5,1,1988,1988,-3590,-4610,-8200,-3590,-4610,-8200
1988-02-01,5,2,1988,1988,-3650,-4610,-8260,-3650,-4610,-8260
1988-02-02,5,2,1988,1988,-3390,-4480,-7870,-3390,-4480,-7870
1988-02-03,5,2,1988,1988,-3290,-4300,-7590,-3290,-4300,-7590
1988-02-04,5,2,1988,1988,-3370,-4390,-7760,-3370,-4390,-7760
1988-02-05,6,2,1988,1988,-3760,-4510,-8270,-3760,-4510,-8270
1988-02-06,6,2,1988,1988,-3820,-4730,-8550,-3820,-4730,-8550
1988-02-07,6,2,1988,1988,-3690,-4800,-8490,-3690,-4800,-8490
1988-02-08,6,2,1988,1988,-3490,-4800,-8290,-3490,-4800,-8290
1988-02-09,6,2,1988,1988,-3500,-4840,-8340,-3500,-4840,-8340
1988-02-10,6,2,1988,1988,-3920,-4990,-8910,-3920,-4990,-8910
1988-02-11,6,2,1988,1988,-4120,-5090,-9210,-4120,-5090,-9210
