"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1976,3,"1976-03-24",64.2629115045872,15.4608818449191,40,1975-11-25,1975-12-08,"Yes",1976,14574.1935483871,1822.90322580645,16617.5483870968,51,8420.16129032258,7788.1935483871,80.316065323871,-4570.14028252271,1976-03-01,12772.4137931034,2114.8275862069,15080.7931034483,33.7586206896552,7817.44827586207,7471.31034482759,79.4769950924138
1976,4,"1976-04-06",53.0734045040299,10.2503521754493,96,1975-11-25,1975-12-08,"Yes",1976,12724.3333333333,1292.73333333333,14199.7333333333,0.1,5141.63333333333,8728.93333333333,80.8916546696667,-7905.55414379175,1976-04-01,14574.1935483871,1822.90322580645,16617.5483870968,51,8420.16129032258,7788.1935483871,80.316065323871
1976,11,"1975-11-13",61.3431102650082,14.4825742595335,67,1975-11-25,1975-12-08,"No",1975,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333,-5101.09574649139,1975-11-01,19174.1935483871,4543.22580645161,24646.7741935484,17.6129032258065,7560.09677419355,16900.935483871,72.3299388419355
1976,12,"1975-12-16",58.76912757289,11.906069134165,80,1975-11-25,1975-12-08,"Yes",1975,25545.1612903226,3744.83870967742,29673.8709677419,40.3225806451613,7819.35483870968,19953.8709677419,68.6271529141935,-4570.14028252271,1975-12-01,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333
1977,1,"1977-01-14",52.5861508758839,14.1912470002702,82,NA,NA,"No",1977,9801.61290322581,1090.77419354839,10945.935483871,2.54838709677419,7044.45161290323,4362.61290322581,86.6837333993548,-7845.99543866844,1977-01-01,7742.90322580645,964.838709677419,8766.93548387097,1.12903225806452,2783.45161290323,4213.06451612903,88.5246706932258
1977,3,"1977-03-16",47.8488857229392,2.50909145066938,80,NA,NA,"No",1977,6572.90322580645,523.677419354839,7150.03225806452,3.67741935483871,3875.41935483871,3007.25806451613,89.575682683871,-4570.14028252271,1977-03-01,8002.85714285714,788.535714285714,8832.82142857143,1.10714285714286,4381,4878.25,90.8812471371429
1977,4,"1977-04-12",50.0538039856137,5.09517838653375,19,NA,NA,"No",1977,5961,212.1,6198.73333333333,1,1401.63333333333,2977.03333333333,91.4685639046667,-7905.55414379175,1977-04-01,6572.90322580645,523.677419354839,7150.03225806452,3.67741935483871,3875.41935483871,3007.25806451613,89.575682683871
1977,11,"1976-11-24",46.770803923397,9.48390418360067,77,NA,NA,"No",1976,7823.33333333333,1136,9059.13333333333,6.23333333333333,4243.9,3643.43333333333,89.3020949183333,-5101.09574649139,1976-11-01,8102.90322580645,1273.54838709677,9405.48387096774,1,4617.83870967742,3611.48387096774,88.9509433712903
1978,1,"1978-01-13",60.6407390394189,14.2904671170457,95,1978-01-07,1978-03-06,"Yes",1978,45490.3225806452,2275.67741935484,70897.1612903226,18700.9677419355,9858.90322580645,66157.0322580645,70.0067245087097,-7845.99543866844,1978-01-01,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484
1978,2,"1978-02-08",55.6120609990024,NA,1,1978-01-07,1978-03-06,"Yes",1978,44703.5714285714,7318.57142857143,63704.3571428571,8617.53571428571,10309.5357142857,56158.5714285714,60.0650310042857,-5101.09574649139,1978-02-01,45490.3225806452,2275.67741935484,70897.1612903226,18700.9677419355,9858.90322580645,66157.0322580645,70.0067245087097
1978,3,"1978-03-22",65.5111654935974,19.5238945673349,132,1978-01-07,1978-03-06,"Yes",1978,55570.9677419355,11474.8387096774,88587.9032258065,18367.9032258065,5843.74193548387,85618.6129032258,55.3329582596774,-4570.14028252271,1978-03-01,44703.5714285714,7318.57142857143,63704.3571428571,8617.53571428571,10309.5357142857,56158.5714285714,60.0650310042857
1978,4,"1978-04-13",55.7916889069417,7.89123846313391,291,1978-01-07,1978-03-06,"Yes",1978,38883.3333333333,20030,63741.7,1377.63333333333,3377.33333333333,61170.1333333333,55.4879615403333,-7905.55414379175,1978-04-01,55570.9677419355,11474.8387096774,88587.9032258065,18367.9032258065,5843.74193548387,85618.6129032258,55.3329582596774
1978,11,"1977-11-15",50.7808094886019,7.45385099311362,85,1978-01-07,1978-03-06,"No",1977,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333,-5101.09574649139,1977-11-01,4494.1935483871,246.193548387097,4749.32258064516,0,791.709677419355,2045.90322580645,94.7305485509677
1978,12,"1977-12-13",53.0335834312057,7.21441270701797,105,1978-01-07,1978-03-06,"No",1977,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484,-4570.14028252271,1977-12-01,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333
1979,2,"1979-02-12",68.585890176189,14.0052585883175,50,1979-01-13,1979-02-27,"Yes",1979,32442.8571428571,7137.85714285714,45683.2142857143,1661.60714285714,2938.82142857143,46341.0714285714,66.6602227467857,-5101.09574649139,1979-02-01,23190.3225806452,5233.22580645161,30791,424.935483870968,4103.90322580645,30522.4516129032,71.8701045074194
1979,3,"1979-03-08",61.0731323012311,16.1073444661355,49,1979-01-13,1979-02-27,"Yes",1979,29164.5161290323,8651.93548387097,41626.5483870968,333.903225806452,4347.12903225806,38086.8064516129,60.65586867,-4570.14028252271,1979-03-01,32442.8571428571,7137.85714285714,45683.2142857143,1661.60714285714,2938.82142857143,46341.0714285714,66.6602227467857
1979,4,"1979-04-12",51.0829800943552,6.47078718488885,603,1979-01-13,1979-02-27,"Yes",1979,16546.6666666667,3506.33333333333,21618.0333333333,30.1,5881.9,14484.6,67.5090901586667,-7905.55414379175,1979-04-01,29164.5161290323,8651.93548387097,41626.5483870968,333.903225806452,4347.12903225806,38086.8064516129,60.65586867
1979,11,"1978-11-20",60.4380419878102,13.7432302980267,26,1979-01-13,1979-02-27,"No",1978,12443.3333333333,3497.66666666667,16414.2,2.93333333333333,5572.66666666667,10928.0666666667,77.516614028,-5101.09574649139,1978-11-01,12487.0967741935,3327.41935483871,16619.6129032258,1.09677419354839,5157.12903225806,9599.96774193548,76.3381575248387
1979,12,"1978-12-14",63.0385054930114,11.095125179639,26,1979-01-13,1979-02-27,"No",1978,13203.2258064516,2812.25806451613,16334.7096774194,6.96774193548387,6050.67741935484,8779.70967741935,77.0913969332258,-4570.14028252271,1978-12-01,12443.3333333333,3497.66666666667,16414.2,2.93333333333333,5572.66666666667,10928.0666666667,77.516614028
1980,1,"1980-01-14",54.5300039365446,4.9270601309544,379,1979-12-26,1980-02-19,"Yes",1980,58635.4838709677,13069.0322580645,120990.64516129,40646.0322580645,6368.83870967742,118220.129032258,60.3202989641935,-7845.99543866844,1980-01-01,20319.3548387097,2486.77419354839,24316.5161290323,919.258064516129,5973.32258064516,19028.5483870968,74.7803774545161
1980,2,"1980-02-14",54.6089043352481,6.25314315412772,217,1979-12-26,1980-02-19,"Yes",1980,52575.8620689655,18648.275862069,125777.344827586,46505.3103448276,6183.72413793103,121654.793103448,54.0031173641379,-5101.09574649139,1980-02-01,58635.4838709677,13069.0322580645,120990.64516129,40646.0322580645,6368.83870967742,118220.129032258,60.3202989641935
1980,3,"1980-03-13",54.4244009201343,4.59970355273956,102,1979-12-26,1980-02-19,"Yes",1980,55338.7096774194,25232.2580645161,103281.387096774,17793.1612903226,4359.87096774194,99151.8387096774,48.7861534935484,-4570.14028252271,1980-03-01,52575.8620689655,18648.275862069,125777.344827586,46505.3103448276,6183.72413793103,121654.793103448,54.0031173641379
1980,4,"1980-04-10",53.3460255496782,4.22155674083864,61,1979-12-26,1980-02-19,"Yes",1980,22586.6666666667,10249.3333333333,34672.4333333333,55.7,5404.06666666667,28628.3666666667,58.3508481416667,-7905.55414379175,1980-04-01,55338.7096774194,25232.2580645161,103281.387096774,17793.1612903226,4359.87096774194,99151.8387096774,48.7861534935484
1980,11,"1979-11-14",44.1941141436995,0,2,1979-12-26,1980-02-19,"No",1979,15200,2320,18177.9333333333,9.73333333333333,5856.86666666667,12172.0666666667,78.0522327893333,-5101.09574649139,1979-11-01,12577.4193548387,2790.32258064516,16035.1290322581,8.93548387096774,7751.96774193548,7798.64516129032,83.6873369483871
1980,12,"1979-12-26",54.4263711015406,0,2,1979-12-26,1980-02-19,"Yes",1979,20319.3548387097,2486.77419354839,24316.5161290323,919.258064516129,5973.32258064516,19028.5483870968,74.7803774545161,-4570.14028252271,1979-12-01,15200,2320,18177.9333333333,9.73333333333333,5856.86666666667,12172.0666666667,78.0522327893333
1981,1,"1981-01-28",69.9836086210797,12.5508885898411,159,1980-12-07,1981-02-19,"Yes",1981,18509.6774193548,3250.64516129032,23285.935483871,974.838709677419,8264.83870967742,18325.2580645161,78.4956995574194,-7845.99543866844,1981-01-01,16687.0967741935,2949.35483870968,19917.3870967742,17.0645161290323,6764.64516129032,12486.8064516129,77.526414283871
1981,2,"1981-02-12",61.0780403462632,17.1413470268219,173,1980-12-07,1981-02-19,"Yes",1981,24239.2857142857,2878.92857142857,28180.0357142857,716.857142857143,7242.14285714286,21171.3928571429,70.3224028928571,-5101.09574649139,1981-02-01,18509.6774193548,3250.64516129032,23285.935483871,974.838709677419,8264.83870967742,18325.2580645161,78.4956995574194
1981,3,"1981-03-19",66.3946764661867,19.7259448297102,200,1980-12-07,1981-02-19,"Yes",1981,24509.6774193548,3121.93548387097,29248.6451612903,259.838709677419,4834.22580645161,26483.2580645161,69.3054296745161,-4570.14028252271,1981-03-01,24239.2857142857,2878.92857142857,28180.0357142857,716.857142857143,7242.14285714286,21171.3928571429,70.3224028928571
1981,4,"1981-04-09",55.8089872166051,7.52324821872479,431,1980-12-07,1981-02-19,"Yes",1981,17224.3333333333,2532.33333333333,20227.0333333333,32.2,8094.36666666667,11647.6666666667,71.649977122,-7905.55414379175,1981-04-01,24509.6774193548,3121.93548387097,29248.6451612903,259.838709677419,4834.22580645161,26483.2580645161,69.3054296745161
1981,11,"1980-11-13",52.2103177502709,9.17370505401449,470,1980-12-07,1981-02-19,"No",1980,10871.6666666667,3277.66666666667,14715.2666666667,10.9,6457.3,6661.8,81.3779255563333,-5101.09574649139,1980-11-01,11343.5483870968,4072.25806451613,15880.1935483871,6.7741935483871,6740.96774193548,7320.83870967742,78.950194583871
