"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1983,1,"1983-01-03",65.8326772579076,14.7429157620043,67,1982-11-03,1983-02-07,"Yes",1983,47512.9032258065,19067.7419354839,96860.6129032258,21640.3870967742,10077.8709677419,89761.5483870968,55.0301055151613,-7845.99543866844,1983-01-01,57706.4516129032,16493.5483870968,95522.7096774193,12297.5161290323,8428.45161290323,88908,57.0542632064516
1983,2,"1983-02-05",71.9113598307109,20.3266662770003,26,1982-11-03,1983-02-07,"Yes",1983,79039.2857142857,31603.5714285714,183046.035714286,60479.8571428571,10246.0357142857,175756.25,46.9010182125,-5101.09574649139,1983-02-01,47512.9032258065,19067.7419354839,96860.6129032258,21640.3870967742,10077.8709677419,89761.5483870968,55.0301055151613
1983,3,"1983-03-07",69.6633312951094,17.7277501578217,61,1982-11-03,1983-02-07,"Yes",1983,78290.3225806452,40035.4838709677,266621.322580645,130358.387096774,5436.16129032258,266623.161290323,40.8910494980645,-4570.14028252271,1983-03-01,79039.2857142857,31603.5714285714,183046.035714286,60479.8571428571,10246.0357142857,175756.25,46.9010182125
1983,4,"1983-04-19",53.7800029375276,3.30091818301182,301,1982-11-03,1983-02-07,"Yes",1983,60510,36446.6666666667,121802.566666667,17918.9333333333,3833.66666666667,118099.733333333,44.1432311363333,-7905.55414379175,1983-04-01,78290.3225806452,40035.4838709677,266621.322580645,130358.387096774,5436.16129032258,266623.161290323,40.8910494980645
1983,11,"1982-11-11",59.3332815118638,13.1193706676901,60,1982-11-03,1983-02-07,"Yes",1982,31523.3333333333,6974.33333333333,42768.5333333333,452.8,6072.76666666667,39152.3333333333,64.7999767746667,-5101.09574649139,1982-11-01,19229.0322580645,8179.35483870968,28817.1612903226,17.1290322580645,5295.03225806452,22975.3870967742,66.8826108745161
1983,12,"1982-12-14",64.5555062860394,13.0311757668475,76,1982-11-03,1983-02-07,"Yes",1982,57706.4516129032,16493.5483870968,95522.7096774193,12297.5161290323,8428.45161290323,88908,57.0542632064516,-4570.14028252271,1982-12-01,31523.3333333333,6974.33333333333,42768.5333333333,452.8,6072.76666666667,39152.3333333333,64.7999767746667
1984,1,"1984-01-20",71.070743477601,22.5706819066321,10,1983-11-12,1984-01-16,"Yes",1984,56803.2258064516,25729.0322580645,103430.64516129,16699.7419354839,1720.03225806452,100905.806451613,47.1176361574194,-7845.99543866844,1984-01-01,74512.9032258065,19125.8064516129,154696.483870968,51892.2580645161,2142.1935483871,154586.870967742,50.4754610045161
1984,2,"1984-02-28",81.3917982497522,21.7621402155524,30,1983-11-12,1984-01-16,"Yes",1984,32372.4137931034,10833.1034482759,46831.275862069,1300.8275862069,5767.37931034483,41515.4482758621,56.1896705651724,-5101.09574649139,1984-02-01,56803.2258064516,25729.0322580645,103430.64516129,16699.7419354839,1720.03225806452,100905.806451613,47.1176361574194
1984,3,"1984-03-06",74.6072985181424,18.7433978885447,24,1983-11-12,1984-01-16,"Yes",1984,31425.8064516129,7501.61290322581,42147.4838709677,1080.25806451613,6929.70967741936,34915.5161290323,60.3784977296774,-4570.14028252271,1984-03-01,32372.4137931034,10833.1034482759,46831.275862069,1300.8275862069,5767.37931034483,41515.4482758621,56.1896705651724
1984,4,"1984-04-09",53.9660778783625,2.74242025390355,548,1983-11-12,1984-01-16,"Yes",1984,17933.3333333333,4285,23780.4333333333,332.8,7779.13333333333,14637.1333333333,66.439203897,-7905.55414379175,1984-04-01,31425.8064516129,7501.61290322581,42147.4838709677,1080.25806451613,6929.70967741936,34915.5161290323,60.3784977296774
